"OBSID1" "OBSID2" "STUDYID" "CRN_SUBCMP" "IGSNID" "DBDOI" "DBVERNO" "SMPID" "SITEID" "METASITEID" "CNTRY" "REGION_INT" "REGION_REG" "DIV_ADMIN" "DIV_OTHER" "ISL_NAME" "LAKE" "BASIN" "AHGFL1" "AHGFL2" "RIVNAME" "RIVDIV" "IBRACODE" "IBRAREGION" "X_WGS84" "Y_WGS84" "CORDS_ELEV" "ELEVATION" "SITE_COMMT" "REFDBID" "OAID" "AUTHOR" "PUBYEAR" "REFID" "REFDOI" "MATERIAL" "SIZEMIN" "SIZEMAX" "PROJEPSGID" "PROJECTION" "AREA" "ELEV_AVE" "ELEV_STD" "SLP_AVE" "SLP_STD" "SMP_DAY" "SMP_MONTH" "SMP_YEAR" "SMP_COMMT" "BE10NP" "BE10NP_ERR" "BE10EP" "BE10EP_ERR" "BESTND" "BECORR" "BEAMS" "BE10NC" "BE10NC_ERR" "BEPROD" "BETOPO" "BESELF" "BESNOW" "BETOTS" "EBE_GCMYR" "ERRBE_AMS" "ERRBE_MUON" "ERRBE_PROD" "ERRBE_TOT" "EBE_MMKYR" "EBE_ERR" "AL26NP" "AL26NP_ERR" "AL26EP" "AL26EP_ERR" "ALSTND" "ALCORR" "ALAMS" "AL26NC" "AL26NC_ERR" "ALPROD" "ALTOPO" "ALSELF" "ALSNOW" "ALTOTS" "EAL_GCMYR" "ERRAL_AMS" "ERRAL_MUON" "ERRAL_PROD" "ERRAL_TOT" "EAL_MMKYR" "EAL_ERR" "layer" "path" "P" "Nneutrons" "Nmuons" "E1" "E2" "E3"
"S089WTS001" "Gud-BC" "S089" "INT" NA "10.4225/48/5a8367feac9b2" 1 "CRNSM01703" "CRNST01481a" NA "USA" "Santa Cruz Mts. (CA)" NA NA NA NA NA "Bear Crk." NA NA "not applicable" "not applicable" NA "not applicable" -122.120305 37.127932 "INTP_ND" -9999.99 NA "Gudmundsdottir:2013cruz" "OAID-000070" "Gudmundsdottir" 2013 "Geology_41" "10.1130/G33970.1" "Sa" 250 500 32610 "WGS84_UTM_10N" 41.83 480.69 185.77 258.5 111.6 -9999 -9999 -9999 NA 14700 300 381 25 "07KNSTD" 1 "LLNL-CAMS" 14700 300 1.361 0.993 1 1 1.351 0.07452 0.00153 0.00827 0.01448 0.01674 281.2 63.18 -9999 -9999 -9999.99 -9999.99 NA 0 "LLNL-CAMS" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_int_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_int_basins/crn_int_basins.shp" 956.809958697099 1.37513762504707 1.14180041402442 226.489102870029 281.147796544082 279.403975394554
"S164WTS054" "sample_53" "S164" "INT" NA "10.4225/48/5a8367feac9b2" 1 "CRNSM02997" "CRNST02704a" NA "IND" "Karnataka, Kerala" NA NA NA NA NA "Bhavani Riv. trib." NA NA "not applicable" "not applicable" NA "not applicable" 76.882408 11.338835 "INTP_ND" -9999.99 NA "Mandal:2015indian" "OAID-000096" "Mandal" 2015 "Earth_Planet_Sc_Lett_425" "10.1016/j.epsl.2015.05.050" "Sa" 250 1000 32643 "WGS84_UTM_43N" 61.8 1597.31 441.07 305.87 190.46 -9999 1 2013 NA 775262 26829 10.88 0.91 "S2007" 0.9124 "ETH-Zurich" 775262 26829 2.064 0.984 1 1 2.037 0.00184 7e-05 1e-04 0.00037 0.00039 6.93 1.46 -9999 -9999 -9999.99 -9999.99 NA 0 "ETH-Zurich" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_int_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_int_basins/crn_int_basins.shp" 835.479670612724 2.00138422758984 1.27254348221846 6.25029415702164 7.4053700506056 6.4652830154842
"S050WTS040" "wbo610q" "S050" "INT" NA "10.4225/48/5a8367feac9b2" 1 "CRNSM00946" "CRNST00813a" NA "CHN" "East Tibet" NA NA NA NA NA "Dadu" NA NA "not applicable" "not applicable" NA "not applicable" 100.670352 32.529887 "INTP_ND" -9999.99 NA "Ouimet:2009threshold" "OAID-000124" "Ouimet" 2009 "Geology_37" "10.1130/G30013A.1" "Gr" 5000 10000 32647 "WGS84_UTM_47N" 46.73 4141.05 198.38 408.78 137.96 -9999 -9999 -9999 NA 455900 15000 99 30 "KNSTD" 0.9042 "PRIME-Lab" 412225 13563 12.787 0.98 1 1 12.537 0.02126 7e-04 0.00038 0.00378 0.00387 80.24 14.59 -9999 -9999 -9999.99 -9999.99 NA 0 "PRIME-Lab" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_int_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_int_basins/crn_int_basins.shp" 605.09380592574 13.6058597493497 4.63572653501427 79.911658568791 87.8251815623884 86.8246946543137
"S050WTS041" "wbo610s" "S050" "INT" NA "10.4225/48/5a8367feac9b2" 1 "CRNSM00947" "CRNST00813a" NA "CHN" "East Tibet" NA NA NA NA NA "Dadu" NA NA "not applicable" "not applicable" NA "not applicable" 100.670352 32.529887 "INTP_ND" -9999.99 NA "Ouimet:2009threshold" "OAID-000124" "Ouimet" 2009 "Geology_37" "10.1130/G30013A.1" "Sa" 250 500 32647 "WGS84_UTM_47N" 46.73 4141.05 198.38 408.78 137.96 -9999 -9999 -9999 NA 359600 12200 125 10 "KNSTD" 0.9042 "PRIME-Lab" 325150 11031 12.787 0.98 1 1 12.537 0.02699 0.00092 0.00048 0.0048 0.00491 101.85 18.52 -9999 -9999 -9999.99 -9999.99 NA 0 "PRIME-Lab" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_int_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_int_basins/crn_int_basins.shp" 605.09380592574 13.6058597493497 4.63572653501427 101.311958952852 111.344719266663 110.53529126308
"S050WTS059" "wbo639" "S050" "INT" NA "10.4225/48/5a8367feac9b2" 1 "CRNSM00965" "CRNST00830a" NA "CHN" "East Tibet" NA NA NA NA NA "Yalong" NA NA "not applicable" "not applicable" NA "not applicable" 101.895861 28.61799 "INTP_ND" -9999.99 NA "Ouimet:2009threshold" "OAID-000124" "Ouimet" 2009 "Geology_37" "10.1130/G30013A.1" "Sa" 250 500 32647 "WGS84_UTM_47N" 50.43 2937.77 724.1 557.87 227.67 -9999 -9999 -9999 NA 18400 1200 1210 138 "KNSTD" 0.9042 "PRIME-Lab" 16637 1085 7.99 0.953 1 1 7.632 0.32656 0.0214 0.00917 0.05836 0.06283 1232.32 237.09 -9999 -9999 -9999.99 -9999.99 NA 0 "PRIME-Lab" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_int_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_int_basins/crn_int_basins.shp" 706.600600452114 6.33944135584589 2.8816773619641 922.559644600004 1044.44645847793 1043.22101185439
"S115WTS010" "BT0912" "S115" "INT" NA "10.4225/48/5a8367feac9b2" 1 "CRNSM02152" "CRNST01927a" NA "BTN" "Bhutanese Himalaya" NA NA NA NA NA "ND" NA NA "not applicable" "not applicable" NA "not applicable" 90.90185 27.66546 "INTP_ND" -9999.99 NA "Adams:2016bhutan" "OAID-000003" "Adams" 2016 "J_Geophys_Res-Earth_121" "10.1002/2015jf003508" "Sa" 250 1000 32646 "WGS84_UTM_46N" 50.39 3813.09 306.16 414.1 158.85 -9999 -9999 -9999 NA 243388 11954 115 11 "07KNSTD" 1 "PRIME-Lab" 243388 11954 9.694 0.977 1 1 9.477 0.02742 0.00136 0.00062 0.0049 0.00512 103.49 19.33 -9999 -9999 -9999.99 -9999.99 NA 0 "PRIME-Lab" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_int_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_int_basins/crn_int_basins.shp" 631.506011314756 10.1396935787995 3.85866506957162 100.865849421853 112.022255361987 110.951351337205
"S249WTS006" "16T32" "S249" "INT" NA "TBA" 2 "CRNSM04040" "CRNST03605a" NA "TUR" "Bozdag Range" NA NA NA NA NA "ND" NA NA "not applicable" "not applicable" NA "not applicable" 27.673645 38.251613 "INTP_ND" -9999.99 NA "Heineke:2019menderes" "OAID-000073" "Heineke" 2019 "Geosphere_15" "10.1130/ges02013.1" "Sa" 250 500 32635 "WGS84_UTM_35N" 40.34 690.43 204.11 302.73 156.75 -9999 -9999 -9999 NA 57100 3600 90 9 "S2007" 0.9124 "ETH-Zurich" 57100 3600 1.666 0.986 1 1 1.644 0.02251 0.00144 0.00209 0.00435 0.00504 84.95 19 -9999 -9999 -9999.99 -9999.99 NA 0 "ETH-Zurich" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_int_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_int_basins/crn_int_basins.shp" 932.995141618985 1.66059091319524 1.2755332799735 70.4117324723962 86.131353531079 84.4727903542283
"S253WTS026" "TW12-04" "S253" "INT" NA "TBA" 2 "CRNSM04118" "CRNST03681a" NA "TWN" "Taiwan" NA NA NA NA NA "Fangshan" NA NA "not applicable" "not applicable" NA "not applicable" 120.72507 22.280857 "INTP_ND" -9999.99 NA "Chen:2020morakot" "OAID-000027" "Chen" 2020 "Earth_Surf_Proc_Land_45" "10.1002/esp.4753" "Sa" 250 710 32651 "WGS84_UTM_51N" 55.8 721.06 273.6 454.69 160.24 1 12 2012 NA 33100 1440 100 20 "S2007" 0.9124 "ETH-Zurich" 33100 1440 1.245 0.972 1 1 1.212 0.02994 0.00132 0.00353 0.00591 0.00701 112.98 26.44 -9999 -9999 -9999.99 -9999.99 NA 0 "ETH-Zurich" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_int_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_int_basins/crn_int_basins.shp" 929.557812667965 1.23166750287247 1.00808953724982 90.0915316471502 111.523275009898 109.867425686671
"S249WTS016" "14T2" "S249" "INT" NA "TBA" 2 "CRNSM04050" "CRNST03615a" NA "TUR" "Bozdag Range" NA NA NA NA NA "ND" NA NA "not applicable" "not applicable" NA "not applicable" 27.854029 38.467771 "INTP_ND" -9999.99 NA "Heineke:2019menderes" "OAID-000073" "Heineke" 2019 "Geosphere_15" "10.1130/ges02013.1" "Sa" 250 500 32635 "WGS84_UTM_35N" 39.97 748.49 192.6 230.76 148.02 -9999 -9999 -9999 NA 24200 2200 223 27 "S2007" 0.9124 "ETH-Zurich" 24200 2200 1.737 0.991 1 1 1.723 0.05583 0.00515 0.00514 0.01067 0.01291 210.68 48.72 -9999 -9999 -9999.99 -9999.99 NA 0 "ETH-Zurich" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_int_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_int_basins/crn_int_basins.shp" 926.488301426321 1.74602890365992 1.31338843212743 174.684569559988 212.87584896481 211.322479852826
"S261WTS009" "Sample_11" "S261" "INT" NA "TBA" 2 "CRNSM04196" "CRNST03754a" NA "USA" "Grand Staircase (UT)" NA NA NA NA NA "Fourmile Hollow" NA NA "not applicable" "not applicable" NA "not applicable" -112.544181 37.257519 "INTP_ND" -9999.99 NA "Riley:2020staircase" "OAID-000186" "Riley" 2020 "phdthesis" "doi.org/10.26076/d21b-e459" "Sa" 250 500 32612 "WGS84_UTM_12N" 41.17 1993.17 82.55 101.57 97.41 -9999 -9999 -9999 NA 127200 4000 85 10 "07KNSTD" 1 "PRIME-Lab" 127200 4000 4.122 0.998 1 1 4.116 0.02349 0.00075 0.00105 0.00431 0.00449 88.62 16.96 -9999 -9999 -9999.99 -9999.99 NA 0 "PRIME-Lab" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_int_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_int_basins/crn_int_basins.shp" 795.58820789409 4.28636809120264 2.22608385953251 81.5869754157948 93.9021563261313 92.7354667393363
"S046WTS004" "SH-01d" "S046" "INT" NA "10.4225/48/5a8367feac9b2" 1 "CRNSM00786" "CRNST00671a" NA "USA" "Old Rag Mountain (VA)" NA NA NA NA NA "ND" NA NA "not applicable" "not applicable" NA "not applicable" -78.287288 38.571334 "INTP_ND" -9999.99 NA "Duxburry:2008shenandoah" "OAID-000054" "Duxburry" 2009 "phdthesis" NA "ND" 0 0 32618 "WGS84_UTM_18N" 39.54 706.3 203.3 272.2 122.2 -9999 -9999 -9999 NA 139000 4000 22.5 2.9 "KNSTD" 0.9042 "LLNL-CAMS-Assumed" 125684 3617 1.668 0.992 1 1 1.656 0.01013 3e-04 0.00088 0.00198 0.00219 38.24 8.26 -9999 -9999 -9999.99 -9999.99 NA 0 "LLNL-CAMS-Assumed" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_int_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_int_basins/crn_int_basins.shp" 931.212911981581 1.69114591873517 1.28944913519252 32.5776361999361 39.7971941668379 38.3666369167221
"S046WTS002" "SH-01b" "S046" "INT" NA "10.4225/48/5a8367feac9b2" 1 "CRNSM00784" "CRNST00671a" NA "USA" "Old Rag Mountain (VA)" NA NA NA NA NA "ND" NA NA "not applicable" "not applicable" NA "not applicable" -78.287288 38.571334 "INTP_ND" -9999.99 NA "Duxburry:2008shenandoah" "OAID-000054" "Duxburry" 2009 "phdthesis" NA "ND" 0 0 32618 "WGS84_UTM_18N" 39.54 706.3 203.3 272.2 122.2 -9999 -9999 -9999 NA 209000 8000 14.9 2 "KNSTD" 0.9042 "LLNL-CAMS-Assumed" 188978 7234 1.668 0.992 1 1 1.656 0.00665 0.00026 0.00055 0.00131 0.00145 25.1 5.46 -9999 -9999 -9999.99 -9999.99 NA 0 "LLNL-CAMS-Assumed" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_int_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_int_basins/crn_int_basins.shp" 931.212911981581 1.69114591873517 1.28944913519252 21.6664777283746 26.4680044855213 25.0594795113512
"S021WTS014" "UO-3" "S021" "INT" NA "10.4225/48/5a8367feac9b2" 1 "CRNSM00297" "CRNST00226a" NA "LKA" "Sri Lankan Highlands" NA NA NA NA NA "Uma" NA NA "not applicable" "not applicable" NA "not applicable" 80.85167 6.930427 "INTP_ND" -9999.99 NA "vonBlanckenburg:2004tropical" "OAID-000172" "von Blanckenburg" 2004 "J_Geophys_Res-Earth_109" "10.1029/2003JF000049" "Sa" 500 1000 32644 "WGS84_UTM_44N" 42.02 1871.09 272.55 221.62 158.18 -9999 -9999 -9999 NA 258000 34000 36.6 5.9 "S555" 0.9124 "ETH-Zurich" 235399 31022 2.3 0.992 1 1 2.285 0.00718 0.00099 0.00047 0.00138 0.00176 27.1 6.64 -9999 -9999 -9999.99 -9999.99 NA 0 "ETH-Zurich" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_int_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_int_basins/crn_int_basins.shp" 807.722203965107 2.34276769943377 1.39345995895079 24.0958968495114 28.2614844006223 27.0814483618914
"S046WTS001" "SH-01a" "S046" "INT" NA "10.4225/48/5a8367feac9b2" 1 "CRNSM00783" "CRNST00671a" NA "USA" "Old Rag Mountain (VA)" NA NA NA NA NA "ND" NA NA "not applicable" "not applicable" NA "not applicable" -78.287288 38.571334 "INTP_ND" -9999.99 NA "Duxburry:2008shenandoah" "OAID-000054" "Duxburry" 2009 "phdthesis" NA "ND" 0 0 32618 "WGS84_UTM_18N" 39.54 706.3 203.3 272.2 122.2 -9999 -9999 -9999 NA 213000 6000 14.7 1.9 "KNSTD" 0.9042 "LLNL-CAMS-Assumed" 192595 5425 1.668 0.992 1 1 1.656 0.00652 0.00019 0.00054 0.00129 0.00141 24.61 5.32 -9999 -9999 -9999.99 -9999.99 NA 0 "LLNL-CAMS-Assumed" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_int_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_int_basins/crn_int_basins.shp" 931.212911981581 1.69114591873517 1.28944913519252 21.259573863043 25.9709263047579 24.6189624334474
"S046WTS003" "SH-01c" "S046" "INT" NA "10.4225/48/5a8367feac9b2" 1 "CRNSM00785" "CRNST00671a" NA "USA" "Old Rag Mountain (VA)" NA NA NA NA NA "ND" NA NA "not applicable" "not applicable" NA "not applicable" -78.287288 38.571334 "INTP_ND" -9999.99 NA "Duxburry:2008shenandoah" "OAID-000054" "Duxburry" 2009 "phdthesis" NA "ND" 0 0 32618 "WGS84_UTM_18N" 39.54 706.3 203.3 272.2 122.2 -9999 -9999 -9999 NA 187000 9000 16.7 2.2 "KNSTD" 0.9042 "LLNL-CAMS-Assumed" 169085 8138 1.668 0.992 1 1 1.656 0.00746 0.00037 0.00063 0.00147 0.00164 28.17 6.19 -9999 -9999 -9999.99 -9999.99 NA 0 "LLNL-CAMS-Assumed" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_int_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_int_basins/crn_int_basins.shp" 931.212911981581 1.69114591873517 1.28944913519252 24.2155580220171 29.5819886546107 28.1484250884548
"S174WTS008" "Of2c" "S174" "INT" NA "10.4225/48/5a8367feac9b2" 1 "CRNSM03215" "CRNST02897a" NA "BRA" "Southern Espinhaco Range" NA NA NA NA NA "Diamantina Plateau: overloaded alluvial sediments" NA NA "not applicable" "not applicable" NA "not applicable" -43.839208 -18.088681 "INTP_ND" -9999.99 NA "Barreto:2014diamantina" "OAID-000009" "Barreto" 2014 "J_S_Am_Earth_Sci_56" "10.1016/j.jsames.2014.09.002" "Sa" 250 1000 32723 "WGS84_UTM_23S" 36.2 1285.89 49.71 77.74 50.87 -9999 -9999 -9999 NA 482000 -9999 10.51 0.34 "07KNSTD" 1 "ASTER" 482000 -9999 1.672 1 1 1 1.671 0.00251 -9.99999 0.00017 0.00051 -9.99999 9.46 -9999.99 -9999 -9999 -9999.99 -9999.99 NA 0 "ASTER" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_int_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_int_basins/crn_int_basins.shp" 867.987154379925 1.74191028824645 1.20854568413035 8.74978189101167 10.5142037118574 9.4221533857234
"S107WTS001" "IN-12-03" "S107" "INT" NA "10.4225/48/5a8367feac9b2" 1 "CRNSM02007" "CRNST01784a" NA "IND" "Indian Himalaya" NA NA NA NA NA "Uttarakhand" NA NA "not applicable" "not applicable" NA "not applicable" 79.485861 30.486429 "INTP_ND" -9999.99 NA "Morell:2015gap" "OAID-000110" "Morell" 2015 "Lithosphere_7" "10.1130/L407.1" "Sa" 500 800 32644 "WGS84_UTM_44N" 47.56 2657.94 609.54 608.5 304.3 -9999 -9999 -9999 NA 23711 5016 750 180 "07KNSTD" 1 "ANSTO" 23711 5016 5.562 0.937 1 1 5.262 0.16016 0.03551 0.00609 0.02892 0.0462 604.38 174.34 -9999 -9999 -9999.99 -9999.99 NA 0 "ANSTO" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_int_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_int_basins/crn_int_basins.shp" 732.076114303017 5.57170502325988 2.67774875309731 568.92723828102 648.397810808474 647.170010709076
"S021WTS003" "NO-1" "S021" "INT" NA "10.4225/48/5a8367feac9b2" 1 "CRNSM00286" "CRNST00215a" NA "LKA" "Sri Lankan Highlands" NA NA NA NA NA "Nilambe" NA NA "not applicable" "not applicable" NA "not applicable" 80.631341 7.188477 "INTP_ND" -9999.99 NA "vonBlanckenburg:2004tropical" "OAID-000172" "von Blanckenburg" 2004 "J_Geophys_Res-Earth_109" "10.1029/2003JF000049" "Sa" 500 1000 32644 "WGS84_UTM_44N" 62.6 881.07 147.63 229.13 112.94 -9999 -9999 -9999 NA 266000 16000 21.7 1.8 "S555" 0.9124 "ETH-Zurich" 242698 14598 1.218 0.994 1 1 1.211 0.00381 0.00025 0.00037 0.00079 9e-04 14.39 3.41 -9999 -9999 -9999.99 -9999.99 NA 0 "ETH-Zurich" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_int_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_int_basins/crn_int_basins.shp" 911.767623620653 1.16504443611971 0.907023224001694 11.6223720576159 14.2522681892916 12.9673923532214
"S083WTS005" "E-5" "S083" "INT" NA "10.4225/48/5a8367feac9b2" 1 "CRNSM01610" "CRNST01399a" NA "CHE" "Central Alps" NA NA NA NA NA "Gr. Entlen" NA NA "not applicable" "not applicable" NA "not applicable" 8.125408 46.957082 "INTP_ND" -9999.99 NA "VandenBerg:2012entlebuch" "OAID-000167" "Van den Berg" 2012 "Earth_Surf_Proc_Land_37" "10.1002/esp.3237" "Sa" 250 1000 32632 "WGS84_UTM_32N" 29.66 1468.69 204.02 379.2 205.4 -9999 -9999 -9999 NA 31100 1700 350 30 "S2007" 0.9124 "ETH-Zurich" 31100 1700 3.443 0.976 1 1 3.363 0.07991 0.00439 0.00437 0.01469 0.01595 301.55 60.18 -9999 -9999 -9999.99 -9999.99 NA 0 "ETH-Zurich" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_int_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_int_basins/crn_int_basins.shp" 848.783919265404 3.47647495312358 1.93288490933476 270.643248185899 314.37853640925 313.092503053776
"S055WTS029" "SG141" "S055" "INT" NA "10.4225/48/5a8367feac9b2" 1 "CRNSM01033" "CRNST00896a" NA "USA" "San Gabriel (CA)" NA NA NA NA NA "ND" NA NA "not applicable" "not applicable" NA "not applicable" -117.97466 34.253616 "INTP_ND" -9999.99 NA "DiBiase:2010gabriel" "OAID-000048" "DiBiase" 2010 "Earth_Planet_Sc_Lett_289" "10.1016/j.epsl.2009.10.036" "Sa" 250 1000 32611 "WGS84_UTM_11N" 43.46 1329.85 255.52 457.17 166.9 -9999 -9999 -9999 NA 30450 2380 292 37 "07KNSTD" 1 "PRIME-Lab" 30450 2380 2.935 0.978 1 1 2.875 0.07053 0.00557 0.00436 0.01307 0.01486 266.14 56.06 -9999 -9999 -9999.99 -9999.99 NA 0 "PRIME-Lab" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_int_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_int_basins/crn_int_basins.shp" 863.337324115037 2.50087522632816 1.62670263282731 198.848907297722 236.44193105701 234.911619064405
"S015WTS040" "GSRF-13" "S015" "INT" NA "10.4225/48/5a8367feac9b2" 1 "CRNSM00228" "CRNST00174a" NA "USA" "Great Smoky Mts. (NC/TN)" NA NA NA NA NA "Bunches Crk." NA NA "not applicable" "not applicable" NA "not applicable" -83.246545 35.560558 "INTP_ND" -9999.99 NA "Matmon:2003smoky" "OAID-000099" "Matmon" 2003 "Am_J_Sci_303" "10.2475/ajs.303.9.817" "Sa" 250 850 32617 "WGS84_UTM_17N" 42.18 1249.21 223.38 321.9 122.12 -9999 -9999 -9999 NA 3e+05 10000 23.3 3 "KNSTD" 0.9042 "LLNL-CAMS" 271260 9042 2.371 0.988 1 1 2.345 0.00636 0.00022 4e-04 0.00122 0.0013 24 4.92 -9999 -9999 -9999.99 -9999.99 NA 0 "LLNL-CAMS" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_int_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_int_basins/crn_int_basins.shp" 871.882450357955 2.42444664881208 1.5937051993436 21.639407014336 25.773770141178 24.560632850767
"S072WTS008" "BWR-2" "S072" "INT" NA "10.4225/48/5a8367feac9b2" 1 "CRNSM01419" "CRNST01208a" NA "IND" "Central Ladakh Range (JK)" NA NA NA NA NA "ND" NA NA "not applicable" "not applicable" NA "not applicable" 77.855728 34.18806 "INTP_ND" -9999.99 NA "Dortch:2011ladakh" "OAID-000053" "Dortch" 2011 "Geomorphology_135" "10.1016/j.geomorph.2011.08.014" "Sa" 250 1000 32644 "WGS84_UTM_44N" 43.18 5230.19 280.98 426.6 179.3 -9999 -9999 -9999 NA 2700000 99000 22.54 3.1 "07KNSTD" 1 "PRIME-Lab" 2700000 99000 22.255 0.974 1 1 21.672 0.0055 0.00021 5e-05 0.00098 0.001 20.74 3.79 -9999 -9999 -9999.99 -9999.99 NA 0 "PRIME-Lab" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_int_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_int_basins/crn_int_basins.shp" 523.718905475687 23.8519598721149 6.61399529651547 21.3884241145338 23.1122226370973 22.3315684932678
"S149WTS028" "PLS" "S149" "INT" NA "10.4225/48/5a8367feac9b2" 1 "CRNSM02673" "CRNST02418a" NA "PAN" "Eastern" NA NA NA NA NA "Chagres Riv." NA NA "not applicable" "not applicable" NA "not applicable" -79.323522 9.360903 "INTP_ND" -9999.99 NA "Gonzalez:2016panamanian" "OAID-000153" "Sosa-Gonzalez" 2016 "Geomorphology_275" "10.1016/j.geomorph.2016.04.025" "Sa" 250 850 32617 "WGS84_UTM_17N" 60.91 511.16 86.45 168.88 82.25 -9999 -9999 2009 NA 34600 700 121 8 "07KNSTD" 1 "LLNL-CAMS" 34600 700 0.904 0.998 1 1 0.902 0.02232 0.00046 0.00323 0.00455 0.0056 84.22 21.12 -9999 -9999 -9999.99 -9999.99 NA 0 "LLNL-CAMS" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_int_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_int_basins/crn_int_basins.shp" 953.320025858102 0.884257367849322 0.767538396866042 61.8758345743402 77.4861039873165 75.7518370303458
